0	1	2	3	4	5
00006bb35e9b97b671ce9b451f5f5518	1	00:00:10	http://www.celebritycruises.com/cruises/cruise-package-RF07E119?packageid=RF07E119&dest=CARIB&shipCode=RF&shipName=Celebrity Reflection&sailDate=1160305&cabincls=INTERIOR&promoType=80	02-02-2016	12:59:59 GMT
000073d8b76b29cdf466f214b4f622b8	1	00:01:33	http://www.celebritycruises.com/htmlpage/go-canada-new-england?CID=emx_bglm_bogm_nwdply_1511_mul_em_bo_2635&allowMobile=y	12-10-2015	13:30:49 GMT
000073d8b76b29cdf466f214b4f622b8	1	00:01:33	http://www.celebritycruises.com/cruise-search/search-results?cruisesOnly=Y&isWidget=false&dest=ATLCO&sailStartDate=2017-06&sailEndDate=2017-10	12-10-2015	13:31:31 GMT
000073d8b76b29cdf466f214b4f622b8	1	00:01:33	http://www.celebritycruises.com/cruise-search/search-results?cruisesOnly=Y&isWidget=false&dest=ATLCO&sailStartDate=2017-06&sailEndDate=2017-10	12-10-2015	13:32:22 GMT
00007dcb783527200b0bb99a5eb56182	1	00:04:12	http://www.celebritycruises.com/destinations	01-17-2016	04:55:17 GMT
00007dcb783527200b0bb99a5eb56182	1	00:04:12	http://www.celebritycruises.com/htmlpage/go-alaska	01-17-2016	04:57:24 GMT
00007dcb783527200b0bb99a5eb56182	1	00:04:12	http://www.celebritycruises.com/destinations	01-17-2016	04:59:29 GMT
0000a01d2dbf8d51cb00a54a8f267da8	1	00:02:53	http://www.celebritycruises.com/htmlpage/bestofferever?CID=emx_etar_mul_2016wv_1601_25dp_em_ct_1613&allowMobile=y	01-10-2016	03:15:10 GMT
0000a01d2dbf8d51cb00a54a8f267da8	1	00:02:53	http://www.celebritycruises.com/specials/lto_80?tab=lto_80&promoType=80	01-10-2016	03:18:03 GMT
0000a1a14f038e099698618ba0474183	1	00:00:49	http://www.celebritycruises.com/htmlpage/bestofferever	01-17-2016	05:13:29 GMT
0000a1a14f038e099698618ba0474183	1	00:00:49	http://www.celebritycruises.com/htmlpage/bestofferever	01-17-2016	05:13:30 GMT
