Segment Code	Frequency	Freq_Percentage
216	94	0.0001%
217	223385	0.1725%
214	225973	0.1745%
215	167140	0.1291%
212	155231	0.1199%
213	148319	0.1145%
211	64323	0.0497%
218	28994	0.0224%
219	28916	0.0223%
9207	83823	0.0647%
463	379	0.0003%
6648	205367	0.1586%
6649	146188	0.1129%
6644	160810	0.1242%
31840	177	0.0001%
6646	197970	0.1529%
31842	177	0.0001%
6640	101702	0.0785%
31844	191	0.0001%
6642	500398	0.3864%
6643	391785	0.3025%
4	53004	0.0409%
13413	30868	0.0238%
3649	9713	0.0075%
3648	3528	0.0027%
3647	4404	0.0034%
3646	1765	0.0014%
3645	14742	0.0114%
3644	43196	0.0334%
3643	7320	0.0057%
3642	20165	0.0156%
3641	7891	0.0061%
3640	15719	0.0121%
61	12492	0.0096%
2778	10	0.0000%
2648	207	0.0002%
2649	5	0.0000%
2772	58	0.0000%
2776	121	0.0001%
2777	55	0.0000%
9143	3801	0.0029%
9140	12200	0.0094%
9141	3525	0.0027%
7971	19	0.0000%
7970	24882	0.0192%
9144	4542	0.0035%
9145	3677	0.0028%
21188	66	0.0001%
21181	3403	0.0026%
21180	537	0.0004%
21182	949	0.0007%
21185	115	0.0001%
21184	303	0.0002%
21187	113	0.0001%
21186	780	0.0006%
5168	89285	0.0689%
1933	121	0.0001%
1932	24	0.0000%
1931	15	0.0000%
1930	35	0.0000%
1936	900	0.0007%
1934	31	0.0000%
27518	252	0.0002%
1939	270	0.0002%
1938	519	0.0004%
27519	218	0.0002%
843	317	0.0002%
842	265	0.0002%
841	260	0.0002%
840	208	0.0002%
27515	1	0.0000%
7232	444939	0.3436%
27532	4	0.0000%
10258	353	0.0003%
27844	194	0.0001%
9209	96972	0.0749%
3074	174488	0.1347%
3075	9	0.0000%
3076	105885	0.0818%
3077	198316	0.1531%
3078	1676	0.0013%
3079	583	0.0005%
1025	7	0.0000%
12712	10	0.0000%
1021	113	0.0001%
1020	3	0.0000%
12713	8	0.0000%
12711	47	0.0000%
12717	1	0.0000%
12718	125	0.0001%
12719	7	0.0000%
3109	586	0.0005%
3104	86	0.0001%
3105	13	0.0000%
3107	23	0.0000%
3100	3809	0.0029%
3101	59693	0.0461%
3102	9730	0.0075%
3103	8488	0.0066%
1111	192734	0.1488%
1446	164005	0.1266%
1113	24009	0.0185%
1444	216949	0.1675%
1115	535906	0.4138%
1114	3422	0.0026%
1117	187199	0.1445%
1116	25879	0.0200%
1118	212523	0.1641%
467	2323	0.0018%
1449	470413	0.3632%
1448	494448	0.3818%
23217	9	0.0000%
23216	1829	0.0014%
23215	5043	0.0039%
466	4684	0.0036%
23213	92	0.0001%
23211	56	0.0000%
23210	8	0.0000%
461	77	0.0001%
23219	69378	0.0536%
23218	523	0.0004%
5734	4	0.0000%
5731	67	0.0001%
5730	8023	0.0062%
5733	163743	0.1264%
487	39	0.0000%
486	127	0.0001%
485	45	0.0000%
484	602	0.0005%
483	1	0.0000%
482	263	0.0002%
480	160	0.0001%
7742	438559	0.3386%
7743	409999	0.3166%
